date,area_name,road_name,traffic_volume,average_speed,travel_time_index,congestion_level,hour,day_of_week,month,is_weekend,weather_conditions,traffic_volume_lag_1,average_speed_lag_1,traffic_volume_rolling_3,average_speed_rolling_3
2022-01-19,Indiranagar,100 Feet Road,37647.0,61.34222043649959,1.5,100.0,0,2,1,0,Clear,43778.0,45.58484543530325,33841.67,44.6
2022-01-20,Indiranagar,100 Feet Road,34920.0,21.739523139179617,1.5,100.0,0,3,1,0,Windy,37647.0,61.34222043649959,39697.0,47.61
2022-01-21,Indiranagar,100 Feet Road,37614.0,36.842479139441025,1.5,100.0,0,4,1,0,Overcast,34920.0,21.739523139179617,38781.67,42.89
2022-01-22,Indiranagar,100 Feet Road,38113.0,42.89056687375519,1.5,100.0,0,5,1,1,Fog,37614.0,36.842479139441025,36727.0,39.97
2022-01-23,Indiranagar,100 Feet Road,32690.0,31.874572628998354,1.5,100.0,0,6,1,1,Overcast,38113.0,42.89056687375519,36882.33,33.82
2022-01-24,Indiranagar,100 Feet Road,12829.0,44.72668065893907,1.0160236476202777,38.5925516032092,0,0,1,0,Clear,32690.0,31.874572628998354,36139.0,37.2
2022-01-25,Indiranagar,100 Feet Road,20961.0,20.0,1.3363634841611627,64.29477392892129,0,1,1,0,Clear,12829.0,44.72668065893907,27877.33,39.83
2022-01-26,Indiranagar,100 Feet Road,22812.0,43.93778506157989,1.0157567334771278,77.5189973213802,0,2,1,0,Clear,20961.0,20.0,22160.0,32.2
2022-01-27,Indiranagar,100 Feet Road,50653.0,27.757534679416594,1.5,100.0,0,3,1,0,Rain,22812.0,43.93778506157989,18867.33,36.22
2022-01-28,Indiranagar,100 Feet Road,22144.0,42.60623148491085,1.3533094405704895,72.10984644376038,0,4,1,0,Clear,50653.0,27.757534679416594,31475.33,30.57
2022-01-29,Indiranagar,100 Feet Road,21212.0,39.33871411392432,1.03878626838617,64.28729941549834,0,5,1,1,Fog,22144.0,42.60623148491085,31869.67,38.1
2022-01-30,Indiranagar,100 Feet Road,46490.0,42.17283581158776,1.5,100.0,0,6,1,1,Rain,21212.0,39.33871411392432,31336.33,36.57
2022-01-31,Indiranagar,100 Feet Road,22992.0,44.05376207350711,1.1095952397879887,85.75298934532978,0,0,1,0,Clear,46490.0,42.17283581158776,29948.67,41.37
2022-02-01,Indiranagar,100 Feet Road,34763.0,44.13473732017407,1.5,100.0,0,1,2,0,Clear,22992.0,44.05376207350711,30231.33,41.86
2022-02-02,Indiranagar,100 Feet Road,25267.0,28.018003253889503,1.5,82.73344651877018,0,2,2,0,Clear,34763.0,44.13473732017407,34748.33,43.45
2022-02-03,Indiranagar,100 Feet Road,27713.0,30.182340289065248,1.5,97.03987422940266,0,3,2,0,Rain,25267.0,28.018003253889503,27674.0,38.74
2022-02-04,Indiranagar,100 Feet Road,36972.0,57.782430705822755,1.5,100.0,0,4,2,0,Overcast,27713.0,30.182340289065248,29247.67,34.11
2022-02-06,Indiranagar,100 Feet Road,37265.0,48.10191908080897,1.5,100.0,0,6,2,1,Fog,36972.0,57.782430705822755,29984.0,38.66
2022-02-07,Indiranagar,100 Feet Road,48104.0,31.96435674734085,1.5,100.0,0,0,2,0,Rain,37265.0,48.10191908080897,33983.33,45.36
2022-02-08,Indiranagar,100 Feet Road,22330.0,30.50849476887113,1.3025240387921175,75.22656911139637,0,1,2,0,Clear,48104.0,31.96435674734085,40780.33,45.95
2022-02-09,Indiranagar,100 Feet Road,11122.0,20.954504741496102,1.0210839159413756,27.82465792421295,0,2,2,0,Clear,22330.0,30.50849476887113,35899.67,36.86
2022-02-11,Indiranagar,100 Feet Road,44136.0,29.614263267033756,1.5,100.0,0,4,2,0,Fog,11122.0,20.954504741496102,27185.33,27.81
2022-02-12,Indiranagar,100 Feet Road,23302.0,25.418245711169874,1.1142318464954546,86.90556217842227,0,5,2,1,Clear,44136.0,29.614263267033756,25862.67,27.03
2022-02-13,Indiranagar,100 Feet Road,40743.0,30.9333155812308,1.5,100.0,0,6,2,1,Clear,23302.0,25.418245711169874,26186.67,25.33
2022-02-14,Indiranagar,100 Feet Road,40343.0,44.38640022678945,1.5,100.0,0,0,2,0,Clear,40743.0,30.9333155812308,36060.33,28.66
2022-02-16,Indiranagar,100 Feet Road,38008.0,38.12996304534828,1.5,100.0,0,2,2,0,Clear,40343.0,44.38640022678945,34796.0,33.58
2022-02-17,Indiranagar,100 Feet Road,35163.0,55.531401837412076,1.5,100.0,0,3,2,0,Fog,38008.0,38.12996304534828,39698.0,37.82
2022-02-18,Indiranagar,100 Feet Road,33207.0,50.27429386880181,1.5,100.0,0,4,2,0,Clear,35163.0,55.531401837412076,37838.0,46.02
2022-02-19,Indiranagar,100 Feet Road,38723.0,40.06420774997031,1.5,100.0,0,5,2,1,Rain,33207.0,50.27429386880181,35459.33,47.98
2022-02-21,Indiranagar,100 Feet Road,12061.0,28.7753466910744,1.151983980903901,39.17303789338601,0,0,2,0,Fog,38723.0,40.06420774997031,35697.67,48.62
2022-02-22,Indiranagar,100 Feet Road,49188.0,51.67256841749534,1.5,100.0,0,1,2,0,Clear,12061.0,28.7753466910744,27997.0,39.7
2022-02-23,Indiranagar,100 Feet Road,22280.0,36.094311894089856,1.222494557610309,72.49488530187597,0,2,2,0,Overcast,49188.0,51.67256841749534,33324.0,40.17
2022-02-24,Indiranagar,100 Feet Road,48571.0,20.0,1.5,100.0,0,3,2,0,Clear,22280.0,36.094311894089856,27843.0,38.85
2022-02-25,Indiranagar,100 Feet Road,36474.0,35.33443467973151,1.5,100.0,0,4,2,0,Clear,48571.0,20.0,40013.0,35.92
2022-02-26,Indiranagar,100 Feet Road,10949.0,35.27701755265166,1.0584067622368434,32.28023174379553,0,5,2,1,Clear,36474.0,35.33443467973151,35775.0,30.48
2022-02-27,Indiranagar,100 Feet Road,44916.0,49.34408045034828,1.5,100.0,0,6,2,1,Clear,10949.0,35.27701755265166,31998.0,30.2
2022-02-28,Indiranagar,100 Feet Road,36715.0,52.84882399032351,1.5,100.0,0,0,2,0,Clear,44916.0,49.34408045034828,30779.67,39.99
2022-03-01,Indiranagar,100 Feet Road,26871.0,20.0,1.5,98.53106563705782,0,1,3,0,Clear,36715.0,52.84882399032351,30860.0,45.82
2022-03-02,Indiranagar,100 Feet Road,24147.0,56.93586535476262,1.3733105649516266,86.61033009206137,0,2,3,0,Clear,26871.0,20.0,36167.33,40.73
2022-03-03,Indiranagar,100 Feet Road,49220.0,36.632860530801324,1.5,100.0,0,3,3,0,Clear,24147.0,56.93586535476262,29244.33,43.26
2022-03-04,Indiranagar,100 Feet Road,38842.0,41.7469497780862,1.5,100.0,0,4,3,0,Clear,49220.0,36.632860530801324,33412.67,37.86
2022-03-05,Indiranagar,100 Feet Road,13161.0,40.63433948570334,1.1465012023993897,45.90097012759412,0,5,3,1,Overcast,38842.0,41.7469497780862,37403.0,45.11
2022-03-06,Indiranagar,100 Feet Road,40234.0,20.0,1.5,100.0,0,6,3,1,Clear,13161.0,40.63433948570334,33741.0,39.67
2022-03-07,Indiranagar,100 Feet Road,24956.0,39.22771274289429,1.0915948741201247,83.71951193717062,0,0,3,0,Rain,40234.0,20.0,30745.67,34.13
2022-03-08,Indiranagar,100 Feet Road,21726.0,32.253887086398265,1.2720634187035513,63.58267582053657,0,1,3,0,Overcast,24956.0,39.22771274289429,26117.0,33.29
2022-03-09,Indiranagar,100 Feet Road,34407.0,22.847274237731064,1.5,100.0,0,2,3,0,Clear,21726.0,32.253887086398265,28972.0,30.49
2022-03-10,Indiranagar,100 Feet Road,36665.0,21.171040807274622,1.5,100.0,0,3,3,0,Clear,34407.0,22.847274237731064,27029.67,31.44
2022-03-11,Indiranagar,100 Feet Road,24681.0,52.43715820399812,1.136366563676836,83.14068756748247,0,4,3,0,Fog,36665.0,21.171040807274622,30932.67,25.42
2022-03-12,Indiranagar,100 Feet Road,22597.0,34.67994343667627,1.246753628786558,76.00536713505065,0,5,3,1,Fog,24681.0,52.43715820399812,31917.67,32.15
2022-03-13,Indiranagar,100 Feet Road,37514.0,32.722789969219136,1.5,100.0,0,6,3,1,Fog,22597.0,34.67994343667627,27981.0,36.1
2022-03-14,Indiranagar,100 Feet Road,20041.0,65.26817116042392,1.351103336877093,58.803966754676416,0,0,3,0,Clear,37514.0,32.722789969219136,28264.0,39.95
2022-03-15,Indiranagar,100 Feet Road,21835.0,41.61330946116242,1.1507278424591882,75.34698542354043,0,1,3,0,Clear,20041.0,65.26817116042392,26717.33,44.22
2022-03-17,Indiranagar,100 Feet Road,36346.0,34.702335116635986,1.5,100.0,0,3,3,0,Clear,21835.0,41.61330946116242,26463.33,46.53
2022-03-18,Indiranagar,100 Feet Road,34188.0,49.58657522937662,1.5,100.0,0,4,3,0,Overcast,36346.0,34.702335116635986,26074.0,47.19
2022-03-19,Indiranagar,100 Feet Road,24566.0,43.97943609371152,1.2080359750423337,79.90065229153171,0,5,3,1,Clear,34188.0,49.58657522937662,30789.67,41.97
2022-03-20,Indiranagar,100 Feet Road,52168.0,37.33285041087872,1.5,100.0,0,6,3,1,Clear,24566.0,43.97943609371152,31700.0,42.76
2022-03-21,Indiranagar,100 Feet Road,35484.0,33.533682259563975,1.5,100.0,0,0,3,0,Rain,52168.0,37.33285041087872,36974.0,43.63
2022-03-22,Indiranagar,100 Feet Road,37476.0,23.68931370065029,1.5,100.0,0,1,3,0,Clear,35484.0,33.533682259563975,37406.0,38.28
2022-03-23,Indiranagar,100 Feet Road,53125.0,20.0,1.5,100.0,0,2,3,0,Fog,37476.0,23.68931370065029,41709.33,31.52
2022-03-24,Indiranagar,100 Feet Road,30316.0,33.39961326420656,1.5,100.0,0,3,3,0,Clear,53125.0,20.0,42028.33,25.74
2022-03-25,Indiranagar,100 Feet Road,24436.0,42.30900681323532,1.0036969258324313,77.70344247303738,0,4,3,0,Windy,30316.0,33.39961326420656,40305.67,25.7
2022-03-26,Indiranagar,100 Feet Road,36650.0,20.8317647205081,1.5,100.0,0,5,3,1,Clear,24436.0,42.30900681323532,35959.0,31.9
2022-03-27,Indiranagar,100 Feet Road,39068.0,38.02895262542931,1.5,100.0,0,6,3,1,Overcast,36650.0,20.8317647205081,30467.33,32.18
2022-03-28,Indiranagar,100 Feet Road,34038.0,38.838235638312696,1.5,100.0,0,0,3,0,Clear,39068.0,38.02895262542931,33384.67,33.72
2022-03-29,Indiranagar,100 Feet Road,46778.0,45.104418828265366,1.5,100.0,0,1,3,0,Clear,34038.0,38.838235638312696,36585.33,32.57
2022-03-30,Indiranagar,100 Feet Road,25784.0,22.22050114678802,1.5,78.34347989749075,0,2,3,0,Rain,46778.0,45.104418828265366,39961.33,40.66
2022-03-31,Indiranagar,100 Feet Road,21501.0,38.47098014821551,1.2317622524346619,77.6334160523569,0,3,3,0,Overcast,25784.0,22.22050114678802,35533.33,35.39
2022-04-01,Indiranagar,100 Feet Road,13099.0,44.05825215270701,1.3395009866675371,43.89372448259081,0,4,4,0,Clear,21501.0,38.47098014821551,31354.33,35.27
2022-04-02,Indiranagar,100 Feet Road,22349.0,45.4646127315419,1.0470706050581196,68.01382429299052,0,5,4,1,Clear,13099.0,44.05825215270701,20128.0,34.92
2022-04-03,Indiranagar,100 Feet Road,21300.0,50.91214784616692,1.0319660437386426,61.01108369170508,0,6,4,1,Clear,22349.0,45.4646127315419,18983.0,42.66
2022-04-04,Indiranagar,100 Feet Road,51373.0,26.00632720162744,1.5,100.0,0,0,4,0,Clear,21300.0,50.91214784616692,18916.0,46.81
2022-04-05,Indiranagar,100 Feet Road,25278.0,28.471289640963942,1.5,87.9774491046288,0,1,4,0,Windy,51373.0,26.00632720162744,31674.0,40.79
2022-04-06,Indiranagar,100 Feet Road,33908.0,21.50356265137496,1.5,100.0,0,2,4,0,Rain,25278.0,28.471289640963942,32650.33,35.13
2022-04-07,Indiranagar,100 Feet Road,38586.0,22.92395492433539,1.5,100.0,0,3,4,0,Overcast,33908.0,21.50356265137496,36853.0,25.33
2022-04-08,Indiranagar,100 Feet Road,47572.0,43.69825681396013,1.5,100.0,0,4,4,0,Windy,38586.0,22.92395492433539,32590.67,24.3
2022-04-09,Indiranagar,100 Feet Road,36592.0,36.13757683480277,1.5,100.0,0,5,4,1,Fog,47572.0,43.69825681396013,40022.0,29.38
2022-04-10,Indiranagar,100 Feet Road,38415.0,34.63552679741962,1.5,100.0,0,6,4,1,Clear,36592.0,36.13757683480277,40916.67,34.25
2022-04-11,Indiranagar,100 Feet Road,12675.0,43.35370902471812,1.2505204379095463,33.92911406141803,0,0,4,0,Fog,38415.0,34.63552679741962,40859.67,38.16
2022-04-12,Indiranagar,100 Feet Road,37837.0,34.17113016125135,1.5,100.0,0,1,4,0,Clear,12675.0,43.35370902471812,29227.33,38.04
2022-04-13,Indiranagar,100 Feet Road,30410.0,32.58847507738347,1.5,100.0,0,2,4,0,Clear,37837.0,34.17113016125135,29642.33,37.39
2022-04-14,Indiranagar,100 Feet Road,12829.0,54.26708473009714,1.3650410086955604,47.37397375344057,0,3,4,0,Clear,30410.0,32.58847507738347,26974.0,36.7
2022-04-15,Indiranagar,100 Feet Road,13816.0,58.476780855126236,1.2914836993901408,51.27756363664281,0,4,4,0,Clear,12829.0,54.26708473009714,27025.33,40.34
2022-04-16,Indiranagar,100 Feet Road,52085.0,43.22342298687552,1.5,100.0,0,5,4,1,Clear,13816.0,58.476780855126236,19018.33,48.44
2022-04-17,Indiranagar,100 Feet Road,12674.0,60.16347465799197,1.2645907075425147,50.22288852721509,0,6,4,1,Clear,52085.0,43.22342298687552,26243.33,51.99
2022-04-18,Indiranagar,100 Feet Road,25666.0,37.26592126177998,1.5,81.69498159500017,0,0,4,0,Clear,12674.0,60.16347465799197,26191.67,53.95
2022-04-19,Indiranagar,100 Feet Road,40077.0,24.800312812323114,1.5,100.0,0,1,4,0,Clear,25666.0,37.26592126177998,30141.67,46.88
2022-04-20,Indiranagar,100 Feet Road,39051.0,36.25558522473578,1.5,100.0,0,2,4,0,Fog,40077.0,24.800312812323114,26139.0,40.74
2022-04-21,Indiranagar,100 Feet Road,24205.0,38.73499783956673,1.275439808270198,77.20632767572056,0,3,4,0,Overcast,39051.0,36.25558522473578,34931.33,32.77
2022-04-22,Indiranagar,100 Feet Road,36123.0,40.54967164998613,1.5,100.0,0,4,4,0,Clear,24205.0,38.73499783956673,34444.33,33.26
2022-04-23,Indiranagar,100 Feet Road,45339.0,29.164394521039263,1.5,100.0,0,5,4,1,Clear,36123.0,40.54967164998613,33126.33,38.51
2022-04-24,Indiranagar,100 Feet Road,37670.0,26.869771478311776,1.5,100.0,0,6,4,1,Clear,45339.0,29.164394521039263,35222.33,36.15
2022-04-25,Indiranagar,100 Feet Road,37842.0,31.40159539219612,1.5,100.0,0,0,4,0,Rain,37670.0,26.869771478311776,39710.67,32.19
2022-04-26,Indiranagar,100 Feet Road,43058.0,23.079217354241827,1.5,100.0,0,1,4,0,Clear,37842.0,31.40159539219612,40283.67,29.15
2022-04-27,Indiranagar,100 Feet Road,37423.0,20.0,1.5,100.0,0,2,4,0,Fog,43058.0,23.079217354241827,39523.33,27.12
2022-04-28,Indiranagar,100 Feet Road,31032.0,41.28871254452503,1.5,100.0,0,3,4,0,Clear,37423.0,20.0,39441.0,24.83
2022-04-29,Indiranagar,100 Feet Road,54821.0,43.44905922621709,1.5,100.0,0,4,4,0,Clear,31032.0,41.28871254452503,37171.0,28.12
2022-04-30,Indiranagar,100 Feet Road,25391.0,36.91442047344609,1.5,76.5568869089397,0,5,4,1,Clear,54821.0,43.44905922621709,41092.0,34.91
2022-05-01,Indiranagar,100 Feet Road,11109.0,25.516214932678487,1.1042517191499865,30.482545405384478,0,6,5,1,Clear,25391.0,36.91442047344609,37081.33,40.55
2022-05-02,Indiranagar,100 Feet Road,30608.0,52.47059144553514,1.5,100.0,0,0,5,0,Fog,11109.0,25.516214932678487,30440.33,35.29
2022-05-03,Indiranagar,100 Feet Road,23214.0,56.07272972003804,1.3296597620799564,74.04635630330485,0,1,5,0,Clear,30608.0,52.47059144553514,22369.33,38.3
2022-05-05,Indiranagar,100 Feet Road,30798.0,38.367229815965,1.5,100.0,0,3,5,0,Clear,23214.0,56.07272972003804,21643.67,44.69
2022-05-06,Indiranagar,100 Feet Road,46696.0,56.74837707063181,1.5,100.0,0,4,5,0,Clear,30798.0,38.367229815965,28206.67,48.97
2022-05-07,Indiranagar,100 Feet Road,44744.0,28.900972930507976,1.5,100.0,0,5,5,1,Clear,46696.0,56.74837707063181,33569.33,50.4
2022-05-09,Indiranagar,100 Feet Road,22545.0,57.17548021950716,1.0540281425223736,71.44755451835499,0,0,5,0,Rain,44744.0,28.900972930507976,40746.0,41.34
2022-05-10,Indiranagar,100 Feet Road,21238.0,42.67400761564514,1.0349391953925717,75.14789067842538,0,1,5,0,Windy,22545.0,57.17548021950716,37995.0,47.61
2022-05-11,Indiranagar,100 Feet Road,24471.0,56.51515145933001,1.2534529749064454,75.31958661663839,0,2,5,0,Clear,21238.0,42.67400761564514,29509.0,42.92
2022-05-12,Indiranagar,100 Feet Road,36038.0,31.92710161325282,1.5,100.0,0,3,5,0,Clear,24471.0,56.51515145933001,22751.33,52.12
2022-05-14,Indiranagar,100 Feet Road,22198.0,66.04179275116769,1.3642064039728026,73.82610765561434,0,5,5,1,Clear,36038.0,31.92710161325282,27249.0,43.71
2022-05-16,Indiranagar,100 Feet Road,51625.0,54.37562720390904,1.5,100.0,0,0,5,0,Clear,22198.0,66.04179275116769,27569.0,51.49
2022-05-19,Indiranagar,100 Feet Road,34525.0,48.4648059555603,1.5,100.0,0,3,5,0,Windy,51625.0,54.37562720390904,36620.33,50.78
2022-05-20,Indiranagar,100 Feet Road,45393.0,42.798745284307934,1.5,100.0,0,4,5,0,Overcast,34525.0,48.4648059555603,36116.0,56.29
2022-05-21,Indiranagar,100 Feet Road,25966.0,35.12390076194008,1.5,93.92848196543446,0,5,5,1,Clear,45393.0,42.798745284307934,43847.67,48.55
2022-05-22,Indiranagar,100 Feet Road,24370.0,44.3324082182267,1.0962500906917543,89.2662417984351,0,6,5,1,Clear,25966.0,35.12390076194008,35294.67,42.13
2022-05-23,Indiranagar,100 Feet Road,38115.0,23.364601594437815,1.5,100.0,0,0,5,0,Overcast,24370.0,44.3324082182267,31909.67,40.75
2022-05-24,Indiranagar,100 Feet Road,29697.0,20.0,1.5,100.0,0,1,5,0,Clear,38115.0,23.364601594437815,29483.67,34.27
2022-05-26,Indiranagar,100 Feet Road,26324.0,74.42331010806686,1.5,89.95217764445341,0,3,5,0,Clear,29697.0,20.0,30727.33,29.23
2022-05-27,Indiranagar,100 Feet Road,34959.0,20.0,1.5,100.0,0,4,5,0,Overcast,26324.0,74.42331010806686,31378.67,39.26
2022-05-28,Indiranagar,100 Feet Road,25210.0,26.318249807273347,1.5,75.04128921820097,0,5,5,1,Clear,34959.0,20.0,30326.67,38.14
2022-05-29,Indiranagar,100 Feet Road,38799.0,28.886343526356697,1.5,100.0,0,6,5,1,Fog,25210.0,26.318249807273347,28831.0,40.25
2022-05-30,Indiranagar,100 Feet Road,39009.0,37.31792762625925,1.5,100.0,0,0,5,0,Clear,38799.0,28.886343526356697,32989.33,25.07
2022-05-31,Indiranagar,100 Feet Road,38325.0,47.03710535395099,1.5,100.0,0,1,5,0,Clear,39009.0,37.31792762625925,34339.33,30.84
2022-06-01,Indiranagar,100 Feet Road,23207.0,47.139423010789784,1.0509662075206214,85.20834219445908,0,2,6,0,Rain,38325.0,47.03710535395099,38711.0,37.75
2022-06-02,Indiranagar,100 Feet Road,35247.0,20.4306245447927,1.5,100.0,0,3,6,0,Rain,23207.0,47.139423010789784,33513.67,43.83
2022-06-03,Indiranagar,100 Feet Road,47439.0,48.77209807148872,1.5,100.0,0,4,6,0,Overcast,35247.0,20.4306245447927,32259.67,38.2
2022-06-04,Indiranagar,100 Feet Road,51835.0,21.43175849446763,1.5,100.0,0,5,6,1,Clear,47439.0,48.77209807148872,35297.67,38.78
2022-06-05,Indiranagar,100 Feet Road,27483.0,42.848253685484934,1.5,95.21545237931605,0,6,6,1,Overcast,51835.0,21.43175849446763,44840.33,30.21
2022-06-06,Indiranagar,100 Feet Road,22044.0,32.92544318563195,1.1695498973737857,76.58814246429174,0,0,6,0,Rain,27483.0,42.848253685484934,42252.33,37.68
2022-06-07,Indiranagar,100 Feet Road,36859.0,24.11924327285633,1.5,100.0,0,1,6,0,Clear,22044.0,32.92544318563195,33787.33,32.4
2022-06-08,Indiranagar,100 Feet Road,43089.0,35.43804556607215,1.5,100.0,0,2,6,0,Clear,36859.0,24.11924327285633,28795.33,33.3
2022-06-09,Indiranagar,100 Feet Road,23420.0,64.32963175468534,1.1316245139858199,73.36943474082751,0,3,6,0,Clear,43089.0,35.43804556607215,33997.33,30.83
2022-06-10,Indiranagar,100 Feet Road,53060.0,22.44531990307583,1.5,100.0,0,4,6,0,Clear,23420.0,64.32963175468534,34456.0,41.3
2022-06-11,Indiranagar,100 Feet Road,35179.0,30.25958859562276,1.5,100.0,0,5,6,1,Overcast,53060.0,22.44531990307583,39856.33,40.74
2022-06-12,Indiranagar,100 Feet Road,36913.0,32.56577247446051,1.5,100.0,0,6,6,1,Clear,35179.0,30.25958859562276,37219.67,39.01
2022-06-13,Indiranagar,100 Feet Road,12847.0,35.497612788547684,1.1121619198501547,43.046810307688034,0,0,6,0,Clear,36913.0,32.56577247446051,41717.33,28.42
2022-06-14,Indiranagar,100 Feet Road,45022.0,49.234379234442336,1.5,100.0,0,1,6,0,Clear,12847.0,35.497612788547684,28313.0,32.77
2022-06-15,Indiranagar,100 Feet Road,21497.0,55.61396043268765,1.106812935088598,77.9314378792434,0,2,6,0,Rain,45022.0,49.234379234442336,31594.0,39.1
2022-06-16,Indiranagar,100 Feet Road,35829.0,21.289048137639128,1.5,100.0,0,3,6,0,Fog,21497.0,55.61396043268765,26455.33,46.78
2022-06-17,Indiranagar,100 Feet Road,24363.0,42.88497993149793,1.164710916224943,78.16787881762488,0,4,6,0,Clear,35829.0,21.289048137639128,34116.0,42.05
2022-06-18,Indiranagar,100 Feet Road,40783.0,22.89284200422546,1.5,100.0,0,5,6,1,Clear,24363.0,42.88497993149793,27229.67,39.93
2022-06-19,Indiranagar,100 Feet Road,48190.0,25.132263818264732,1.5,100.0,0,6,6,1,Clear,40783.0,22.89284200422546,33658.33,29.02
2022-06-20,Indiranagar,100 Feet Road,34662.0,30.8373973645035,1.5,100.0,0,0,6,0,Clear,48190.0,25.132263818264732,37778.67,30.3
2022-06-21,Indiranagar,100 Feet Road,50507.0,27.647856215974663,1.5,100.0,0,1,6,0,Rain,34662.0,30.8373973645035,41211.67,26.29
2022-06-22,Indiranagar,100 Feet Road,33610.0,30.38301284412416,1.5,100.0,0,2,6,0,Clear,50507.0,27.647856215974663,44453.0,27.87
2022-06-23,Indiranagar,100 Feet Road,25484.0,49.15005752824045,1.5,84.63609315421382,0,3,6,0,Clear,33610.0,30.38301284412416,39593.0,29.62
2022-06-24,Indiranagar,100 Feet Road,19998.0,54.53348255236062,1.2023111500184247,69.07515683566787,0,4,6,0,Clear,25484.0,49.15005752824045,36533.67,35.73
2022-06-25,Indiranagar,100 Feet Road,36912.0,35.94961489153122,1.5,100.0,0,5,6,1,Clear,19998.0,54.53348255236062,26364.0,44.69
2022-06-26,Indiranagar,100 Feet Road,23093.0,45.6306502948812,1.1242147101411444,83.09634256323321,0,6,6,1,Clear,36912.0,35.94961489153122,27464.67,46.54
2022-06-27,Indiranagar,100 Feet Road,37366.0,28.46577621251765,1.5,100.0,0,0,6,0,Overcast,23093.0,45.6306502948812,26667.67,45.37
2022-06-28,Indiranagar,100 Feet Road,24634.0,62.89630696639719,1.3731500318960497,76.88585230758545,0,1,6,0,Clear,37366.0,28.46577621251765,32457.0,36.68
2022-06-29,Indiranagar,100 Feet Road,44583.0,41.856590107015684,1.5,100.0,0,2,6,0,Clear,24634.0,62.89630696639719,28364.33,45.66
2022-06-30,Indiranagar,100 Feet Road,24500.0,53.26128633822952,1.1692699405732225,84.13032589467252,0,3,6,0,Clear,44583.0,41.856590107015684,35527.67,44.41
2022-07-03,Indiranagar,100 Feet Road,32561.0,29.897502102714697,1.5,100.0,0,6,7,1,Rain,24500.0,53.26128633822952,31239.0,52.67
2022-07-04,Indiranagar,100 Feet Road,12518.0,31.055266437266827,1.2306531191535057,37.51501713507467,0,0,7,0,Overcast,32561.0,29.897502102714697,33881.33,41.67
2022-07-05,Indiranagar,100 Feet Road,39092.0,40.60021515339696,1.5,100.0,0,1,7,0,Clear,12518.0,31.055266437266827,23193.0,38.07
2022-07-07,Indiranagar,100 Feet Road,24195.0,35.97380208628767,1.3441666446325382,87.98437456312898,0,3,7,0,Clear,39092.0,40.60021515339696,28057.0,33.85
2022-07-08,Indiranagar,100 Feet Road,36751.0,23.263011892462664,1.5,100.0,0,4,7,0,Clear,24195.0,35.97380208628767,25268.33,35.88
2022-07-09,Indiranagar,100 Feet Road,36030.0,41.312579199072175,1.5,100.0,0,5,7,1,Windy,36751.0,23.263011892462664,33346.0,33.28
